time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.3955714285714286,0.46614285714285714,0.4472176870748299,0.45871428571428574,0.02229027596116557,0.20800000000000002,0.23585714285714288,0.22675714285714288,0.2302857142857143,0.007920665298793416,1.7252857142857145,1.9258571428571427,1.8192571428571427,1.824642857142857,0.05626683149538996,0.1727142857142857,0.18942857142857145,0.18404285714285717,0.18571428571428572,0.005082603382407208,1.3705714285714286,1.5507142857142857,1.465007142857143,1.464357142857143,0.052196205097024204,0.20800000000000002,0.23771428571428574,0.22917142857142858,0.23214285714285715,0.007130074276168057,9.783428571428571,11.083428571428572,10.46769285714286,10.527214285714285,0.3735076161696502,0.6332857142857143,0.6778571428571428,0.6660642857142858,0.6704285714285714,0.012082494927516787,3.9612857142857143,5.079285714285715,4.802664285714285,4.915857142857144,0.31380520174601506,0.11514285714285714,0.11885714285714287,0.11597857142857144,0.11514285714285714,0.0010947695685226493,128,8,16384,53248,128256,True,4096,1
0.41414285714285715,0.4735714285714286,0.4520816326530613,0.4642857142857143,0.020445218060762542,0.21357142857142858,0.23585714285714288,0.22750000000000004,0.23121428571428573,0.007132492480163705,1.7494285714285716,1.8701428571428573,1.8224142857142855,1.8515714285714286,0.04300037731206075,0.17642857142857143,0.18942857142857145,0.18450714285714287,0.18757142857142858,0.004366260951188968,1.4002857142857144,1.5135714285714288,1.4680714285714287,1.4931428571428573,0.04137095747561305,0.21357142857142858,0.23585714285714288,0.22945000000000002,0.234,0.0076001174802950025,9.909714285714287,10.884714285714285,10.507807142857144,10.676714285714286,0.3334357517741979,0.6462857142857144,0.6797142857142857,0.6684785714285715,0.6741428571428572,0.011410098910301194,4.29,5.049571428571428,4.839621428571428,4.994785714285714,0.2600168961346746,0.11514285714285714,0.11885714285714287,0.11653571428571428,0.117,0.0011560621055275264,128,8,16384,53248,128256,True,4096,1
0.403,0.47171428571428575,0.44721768707483,0.45871428571428574,0.020851253434070918,0.21171428571428572,0.234,0.22638571428571436,0.2302857142857143,0.007117970933073666,1.7568571428571431,1.9202857142857144,1.8319785714285715,1.844142857142857,0.04967110758349795,0.1727142857142857,0.18757142857142858,0.18292857142857144,0.1847857142857143,0.004453272128790386,1.3947142857142858,1.5451428571428574,1.4751285714285716,1.4847857142857146,0.05054056564295861,0.21171428571428572,0.23771428571428574,0.22889285714285718,0.23121428571428573,0.0074719714361644275,9.889285714285714,11.102,10.518764285714289,10.643285714285714,0.3864541931696011,0.6351428571428572,0.6722857142857143,0.6606785714285713,0.6648571428571428,0.010795017274612542,4.167428571428572,5.114571428571429,4.832192857142857,4.968785714285715,0.2742456603009016,0.11328571428571428,0.117,0.11514285714285714,0.11514285714285714,0.0013131983079178752,128,8,16384,53248,128256,True,4064,1
0.4104285714285714,0.46242857142857147,0.44314965986394556,0.44757142857142856,0.013495597395382782,0.21357142857142858,0.23214285714285715,0.22499285714285716,0.22564285714285715,0.005423206935880994,1.7494285714285716,1.9165714285714286,1.8098785714285717,1.8023571428571428,0.04158289667541653,0.1727142857142857,0.18571428571428572,0.18032857142857145,0.18014285714285716,0.003264559225803007,1.3947142857142858,1.5414285714285716,1.4561857142857144,1.451357142857143,0.041539017802543224,0.21542857142857144,0.234,0.22712857142857143,0.22842857142857143,0.00563605376489759,9.883714285714285,10.697142857142858,10.283092857142858,10.299714285714286,0.28232387782438073,0.6370000000000001,0.6667142857142857,0.6537142857142857,0.6546428571428571,0.008052379544366378,4.856428571428572,5.6160000000000005,5.343650000000001,5.370857142857143,0.19645751721791802,0.11142857142857143,0.11514285714285714,0.11291428571428572,0.11328571428571428,0.0011142857142857152,128,8,16384,53248,128256,True,4032,1
0.38628571428571434,0.44571428571428573,0.42440136054421773,0.4345714285714286,0.021163972681080424,0.20614285714285716,0.22657142857142856,0.22072142857142854,0.22285714285714286,0.006520528806651137,1.7494285714285716,1.8998571428571431,1.8304928571428571,1.8422857142857143,0.05436791661580255,0.16714285714285715,0.18014285714285716,0.17587142857142862,0.1782857142857143,0.0037189256732644347,1.3835714285714287,1.4727142857142859,1.430464285714286,1.4281428571428572,0.026052179782670253,0.20614285714285716,0.22842857142857143,0.22211428571428565,0.22471428571428573,0.006470750516354182,9.831714285714288,10.450142857142858,10.127742857142858,10.119571428571428,0.2147714855850472,0.6221428571428572,0.6574285714285714,0.6459142857142858,0.6500000000000001,0.010316758706303126,4.4590000000000005,5.515714285714286,5.1924785714285715,5.3262857142857145,0.31540796799622905,0.11142857142857143,0.11328571428571428,0.11207857142857143,0.11142857142857143,0.0008858006870300217,128,8,16384,53248,128256,True,4000,1
0.3992857142857143,0.44571428571428573,0.42714285714285716,0.42900000000000005,0.01663055368412676,0.21171428571428572,0.22842857142857143,0.22118571428571432,0.22192857142857142,0.00531480412218012,1.678857142857143,1.9369999999999998,1.7992928571428572,1.810714285714286,0.08005400568697739,0.169,0.18200000000000002,0.17587142857142862,0.17735714285714288,0.0037189256732644347,1.3612857142857142,1.5655714285714286,1.4562785714285718,1.4597142857142857,0.06294392507686217,0.21357142857142858,0.2302857142857143,0.2225785714285714,0.22285714285714286,0.005486435034496905,9.259714285714285,10.377714285714287,9.771264285714286,9.766714285714286,0.34328142876761447,0.6221428571428572,0.6537142857142857,0.6426642857142859,0.645357142857143,0.009368452815874414,4.145142857142858,4.914,4.690864285714286,4.7645,0.23515585138111156,0.10957142857142858,0.11328571428571428,0.1113357142857143,0.11142857142857143,0.0012423439005955356,128,8,16384,53248,128256,True,3968,1
0.3881428571428571,0.4438571428571429,0.4267006802721089,0.43828571428571433,0.018807856884472327,0.1987142857142857,0.21914285714285717,0.21338571428571435,0.2163571428571429,0.005957348403442597,1.6881428571428572,1.877571428571429,1.7976214285714287,1.8292857142857144,0.0672569740712775,0.16528571428571429,0.1782857142857143,0.17410714285714285,0.17642857142857143,0.004229844161745571,1.3705714285714286,1.5265714285714287,1.4612928571428574,1.4875714285714288,0.0556377033189927,0.20242857142857143,0.22100000000000003,0.21533571428571435,0.21821428571428572,0.006088341988034622,9.386000000000001,10.184571428571429,9.834685714285715,9.9515,0.29175909338258604,0.6091428571428572,0.6407142857142858,0.6322642857142857,0.6370000000000001,0.009126019652284214,4.104285714285714,4.941857142857143,4.721135714285714,4.837857142857143,0.2374132343120969,0.10957142857142858,0.11142857142857143,0.11068571428571426,0.11142857142857143,0.0009098104758908892,128,8,16384,53248,128256,True,3936,1
0.38442857142857145,0.44571428571428573,0.42793877551020404,0.43642857142857144,0.019151108559162903,0.20057142857142857,0.21914285714285717,0.2146857142857143,0.2172857142857143,0.006226277428146369,1.6677142857142857,1.9054285714285715,1.826685714285714,1.8534285714285714,0.08055676918313252,0.16342857142857142,0.1782857142857143,0.1741071428571429,0.17642857142857143,0.004063494776164773,1.3557142857142856,1.5562857142857143,1.4882214285714286,1.5080000000000002,0.060433594438314676,0.20242857142857143,0.22285714285714286,0.2168214285714286,0.21914285714285717,0.00524868788268039,9.313571428571429,10.338714285714286,10.010278571428572,10.113999999999999,0.33833721698618846,0.6091428571428572,0.6407142857142858,0.6326357142857143,0.6351428571428572,0.008950484538246402,4.156285714285715,5.001285714285714,4.811764285714286,4.889857142857143,0.24709317120289276,0.10771428571428572,0.11142857142857143,0.10882857142857144,0.10864285714285715,0.0012318892078462898,128,8,16384,53248,128256,True,3904,1
0.41600000000000004,0.4345714285714286,0.4275850340136055,0.42900000000000005,0.005699795362617318,0.21171428571428572,0.21914285714285717,0.21487142857142863,0.21542857142857144,0.0019566214112440817,1.7847142857142857,1.872,1.8250142857142857,1.8302142857142858,0.026066903716931114,0.17085714285714285,0.17457142857142857,0.1732714285714286,0.1727142857142857,0.0013262652795865304,1.4374285714285715,1.5154285714285716,1.4805142857142861,1.4857142857142858,0.022010081178164442,0.21171428571428572,0.21914285714285717,0.21580000000000002,0.2163571428571429,0.0020002040712213892,9.688714285714287,10.175285714285716,9.939614285714287,9.964500000000001,0.15545395079034346,0.6240000000000001,0.6370000000000001,0.6301285714285715,0.6305000000000001,0.0031131387140731844,4.704142857142857,4.964142857142857,4.823092857142857,4.837857142857143,0.07468733842096772,0.10585714285714286,0.10957142857142858,0.10799285714285717,0.10771428571428572,0.0012142647057006174,128,8,16384,53248,128256,True,3872,1
0.41785714285714287,0.4327142857142858,0.42502040816326536,0.4252857142857143,0.004023566562149806,0.21171428571428572,0.21914285714285717,0.21450000000000005,0.21357142857142858,0.0018101189497502378,1.7364285714285717,1.844142857142857,1.77645,1.7624285714285717,0.03266394364258104,0.17085714285714285,0.17457142857142857,0.17317857142857143,0.1727142857142857,0.0011560621055275264,1.3947142857142858,1.4671428571428573,1.4248928571428572,1.4197857142857142,0.0234902878323996,0.21171428571428572,0.21914285714285717,0.21561428571428576,0.21542857142857144,0.0024142857142857165,9.564285714285715,10.023000000000001,9.747121428571429,9.694285714285716,0.14604332789432395,0.6221428571428572,0.6314285714285715,0.6268785714285716,0.6267857142857144,0.0029054048859015196,4.7821428571428575,4.9548571428571435,4.845657142857144,4.820214285714287,0.06266474450663347,0.10957142857142858,0.11142857142857143,0.11003571428571426,0.10957142857142858,0.0008041664463712595,128,8,16384,53248,128256,True,3840,1
