model,device,num_gpus,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,a100,2,32,32768,Sparse,0.4383,True,-10.014941450566031,-1.020060287274801,27.187760271984335,27.187760271984335,1182.5462353254247,0.0,sim 3673s TP=2
microsoft/phi-2,a100,2,4,262144,NaiveSparse,0.4383,True,-1.04538912631754,-1.020060287274801,125.73119155023116,125.73119155023116,31.846199666754238,918.79,sim 368s TP=2
microsoft/phi-2,a100,2,16,65536,Dense,0.4383,True,-6.400605561827242,-1.020060287274801,124.02184117523115,125.77109267523115,127.34434457802327,848.53,sim 3785s TP=2
microsoft/phi-2,a100,2,4,262144,Dense,0.4383,True,-1.04538912631754,-1.020060287274801,125.73119155023116,125.73119155023116,31.846199666754238,918.79,sim 608s TP=2
microsoft/phi-2,a100,2,8,131072,Dense,0.4383,True,-1.6195993760626193,-1.020060287274801,125.75153430023111,125.75153430023111,63.682085394448315,892.9,sim 2761s TP=2
microsoft/phi-2,a100,8,8,524288,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,8,524288,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,8,524288,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,2,128,8192,Dense,0.4383,True,-54.228452211937125,-1.04538912631754,129.69409945618915,133.85378220618915,935.6312364694093,363.26,sim 4108s TP=2
microsoft/phi-2,a100,4,32,65536,Sparse,0.4462,True,-10.014941450566031,-1.020060287274801,18.56448923728021,19.7104306819411,1634.0767801299585,0.0,sim 4144s TP=4
microsoft/phi-2,a100,2,2,524288,Sparse,0.4383,True,-1.020060287274801,-1.020060287274801,12.349198425231142,12.349198425231142,163.6434776588417,19.23,sim 551s TP=2
microsoft/phi-2,a100,4,64,32768,Sparse,0.4462,True,-25.60936564091922,-1.020060287274801,28.178235399196147,30.88074029804175,2081.082027864257,0.0,sim 4232s TP=4
microsoft/phi-2,a100,2,8,131072,NaiveSparse,0.4383,True,-1.6195993760626193,-1.020060287274801,125.75153430023111,125.75153430023111,63.682085394448315,892.9,sim 2996s TP=2
microsoft/phi-2,a100,2,16,65536,NaiveSparse,0.4383,True,-6.400605561827242,-1.020060287274801,124.02158517523115,125.77083667523115,127.34460404386547,848.56,sim 4236s TP=2
microsoft/phi-2,a100,8,4,1048576,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,4,1048576,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,4,1048576,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,2,2,524288,NaiveSparse,0.4383,True,-1.020060287274801,-1.020060287274801,124.69982216090936,124.69982216090936,16.054931675794894,918.04,sim 594s TP=2
microsoft/phi-2,a100,4,128,16384,Sparse,0.4462,True,-54.228452211937125,-1.04538912631754,50.9282282276373,53.288403689236816,2329.247687522457,0.0,sim 4266s TP=4
