model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s
CodeLlama-34b-Instruct-hf,a40,16,128,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,32,4,258.16,290.12,258.16,290.12,1.0,0.0,0.0,27.6,27.6
CodeLlama-34b-Instruct-hf,a40,32,8,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,32,16,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,32,32,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,32,64,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,64,4,258.16,290.12,258.16,290.12,1.0,0.0,0.0,27.6,27.6
CodeLlama-34b-Instruct-hf,a40,64,8,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,64,16,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,64,32,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07
CodeLlama-34b-Instruct-hf,a40,128,4,266.41,298.37,258.16,290.12,1.032,33.02,0.0,26.84,27.6
CodeLlama-34b-Instruct-hf,a40,128,8,291.57,291.57,166.69,166.69,1.749,499.55,0.0,27.46,48.07
CodeLlama-34b-Instruct-hf,a40,128,16,291.57,291.57,166.69,166.69,1.749,499.55,0.0,27.46,48.07
CodeLlama-34b-Instruct-hf,a40,256,4,501.29,551.63,258.16,290.12,1.942,1046.05,0.0,14.51,27.6
CodeLlama-34b-Instruct-hf,a40,256,8,551.62,551.62,166.69,166.69,3.309,1539.74,0.0,14.51,48.07
CodeLlama-34b-Instruct-hf,a40,512,4,973.38,1074.05,258.16,290.12,3.77,3135.72,0.0,7.45,27.6
CodeLlama-34b-Instruct-hf,h100,4,4,52.1,58.55,52.0,58.42,1.002,0.0,0.0,137.24,137.53
CodeLlama-34b-Instruct-hf,h100,4,8,33.71,33.71,33.65,33.65,1.002,0.0,0.0,239.13,239.58
CodeLlama-34b-Instruct-hf,h100,4,16,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14
CodeLlama-34b-Instruct-hf,h100,4,32,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14
CodeLlama-34b-Instruct-hf,h100,4,64,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14
CodeLlama-34b-Instruct-hf,h100,4,128,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14
CodeLlama-34b-Instruct-hf,h100,8,4,52.1,58.54,52.1,58.54,1.0,0.0,0.0,137.26,137.26
CodeLlama-34b-Instruct-hf,h100,8,8,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15
CodeLlama-34b-Instruct-hf,h100,8,16,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15
CodeLlama-34b-Instruct-hf,h100,8,32,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15
CodeLlama-34b-Instruct-hf,h100,8,64,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15
CodeLlama-34b-Instruct-hf,h100,8,128,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15
CodeLlama-34b-Instruct-hf,h100,16,4,52.1,58.54,52.1,58.54,1.0,0.0,0.0,137.26,137.26
CodeLlama-34b-Instruct-hf,h100,16,8,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15
CodeLlama-34b-Instruct-hf,h100,16,16,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15
CodeLlama-34b-Instruct-hf,h100,16,32,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15
CodeLlama-34b-Instruct-hf,h100,16,64,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15
CodeLlama-34b-Instruct-hf,h100,16,128,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15
CodeLlama-34b-Instruct-hf,h100,32,4,65.27,71.72,52.1,58.54,1.253,52.7,0.0,111.95,137.26
CodeLlama-34b-Instruct-hf,h100,32,8,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15
