model,device,baseline,context_length,batch_size,kv_read_fraction,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,throughput_tok_s,hbf_stall_ms,status,wall_s
Qwen/Qwen-72B,a40,Dense,4096,16,1.0,-1.62,-1.02,471.68,471.68,16.97,0.00,OK,274.7
Qwen/Qwen-72B,a40,NaiveSparse,4096,16,1.0,-1.62,-1.02,471.68,471.68,16.97,0.00,OK,274.7
Qwen/Qwen-72B,a40,Sparse,8192,4,0.1,-1.62,-1.02,668.04,747.87,10.70,0.00,OK,10.5
Qwen/Qwen-72B,a40,Dense,4096,32,1.0,-1.62,-1.02,471.68,471.68,16.97,0.00,OK,273.3
Qwen/Qwen-72B,a40,NaiveSparse,4096,32,1.0,-1.62,-1.02,471.68,471.68,16.97,0.00,OK,273.3
Qwen/Qwen-72B,a40,Sparse,8192,8,0.1,-1.62,-1.02,471.68,471.68,16.97,0.00,OK,6.2
Qwen/Qwen-72B,a40,Dense,8192,4,1.0,-1.62,-1.02,668.10,747.94,10.70,0.00,OK,11.8
Qwen/Qwen-72B,a40,NaiveSparse,8192,4,1.0,-1.62,-1.02,668.10,747.94,10.70,0.00,OK,11.8
Qwen/Qwen-72B,a40,Sparse,4096,16,0.1,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,282.6
Qwen/Qwen-72B,a40,Dense,4096,8,1.0,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,282.9
Qwen/Qwen-72B,a40,NaiveSparse,4096,8,1.0,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,282.9
Qwen/Qwen-72B,a40,Sparse,8192,16,0.1,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,8.8
Qwen/Qwen-72B,a40,Dense,8192,8,1.0,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,13.6
Qwen/Qwen-72B,a40,NaiveSparse,8192,8,1.0,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,13.6
Qwen/Qwen-72B,a40,Dense,8192,16,1.0,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,13.7
Qwen/Qwen-72B,a40,NaiveSparse,8192,16,1.0,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,13.7
Qwen/Qwen-72B,a40,Sparse,16384,4,0.1,-1.62,-1.02,667.91,747.75,10.70,0.00,OK,15.9
Qwen/Qwen-72B,a40,Sparse,16384,8,0.1,-1.62,-1.02,471.63,471.63,16.97,0.00,OK,15.5
Qwen/Qwen-72B,a40,Dense,16384,4,1.0,-1.62,-1.02,667.91,747.75,10.70,0.00,OK,48.7
Qwen/Qwen-72B,a40,NaiveSparse,16384,4,1.0,-1.62,-1.02,667.91,747.75,10.70,0.00,OK,48.7
Qwen/Qwen-72B,a40,Dense,16384,8,1.0,-1.62,-1.02,504.55,504.55,15.86,131.66,OK,53.7
Qwen/Qwen-72B,a40,NaiveSparse,16384,8,1.0,-1.62,-1.02,504.55,504.55,15.86,131.66,OK,53.7
Qwen/Qwen-72B,a40,Sparse,32768,4,0.1,-1.62,-1.02,667.91,747.75,10.70,0.00,OK,89.5
Qwen/Qwen-72B,a40,Dense,32768,4,1.0,-1.62,-1.02,854.11,938.07,8.53,761.27,OK,228.0
Qwen/Qwen-72B,a40,NaiveSparse,32768,4,1.0,-1.62,-1.02,854.11,938.07,8.53,761.27,OK,228.0
Qwen/Qwen-72B,h100,Sparse,4096,16,0.1,-1.62,-1.02,90.13,90.13,89.01,0.00,OK,624.9
Qwen/Qwen-72B,h100,Dense,4096,8,1.0,-1.62,-1.02,122.89,122.89,65.23,130.79,OK,656.5
Qwen/Qwen-72B,h100,NaiveSparse,4096,8,1.0,-1.62,-1.02,122.89,122.89,65.23,130.79,OK,656.5
Qwen/Qwen-72B,h100,Dense,4096,16,1.0,-1.62,-1.02,122.89,122.89,65.23,130.80,OK,614.8
Qwen/Qwen-72B,h100,NaiveSparse,4096,16,1.0,-1.62,-1.02,122.89,122.89,65.23,130.80,OK,614.8
Qwen/Qwen-72B,h100,Sparse,4096,4,0.1,-1.62,-1.02,126.62,142.03,56.43,0.00,OK,666.4
Qwen/Qwen-72B,h100,Sparse,4096,8,0.1,-1.62,-1.02,90.14,90.14,89.00,0.00,OK,661.3
Qwen/Qwen-72B,h100,Dense,4096,4,1.0,-1.62,-1.02,126.65,142.06,56.42,0.00,OK,664.3
Qwen/Qwen-72B,h100,NaiveSparse,4096,4,1.0,-1.62,-1.02,126.65,142.06,56.42,0.00,OK,664.3
Qwen/Qwen-72B,h100,Dense,4096,32,1.0,-1.62,-1.02,122.89,122.89,65.23,130.79,OK,441.3
Qwen/Qwen-72B,h100,NaiveSparse,4096,32,1.0,-1.62,-1.02,122.89,122.89,65.23,130.79,OK,441.3
Qwen/Qwen-72B,h100,Sparse,4096,32,0.1,-1.62,-1.02,90.18,90.18,88.97,0.00,OK,584.3
Qwen/Qwen-72B,h100,Sparse,8192,8,0.1,-1.62,-1.02,90.17,90.17,88.97,0.00,OK,9.1
Qwen/Qwen-72B,h100,Sparse,8192,16,0.1,-1.62,-1.02,90.17,90.17,88.97,0.00,OK,8.7
Qwen/Qwen-72B,h100,Sparse,8192,4,0.1,-1.62,-1.02,126.75,142.17,56.37,0.00,OK,12.5
Qwen/Qwen-72B,h100,Dense,8192,4,1.0,-1.62,-1.02,210.31,231.35,34.62,356.75,OK,14.2
Qwen/Qwen-72B,h100,NaiveSparse,8192,4,1.0,-1.62,-1.02,210.31,231.35,34.62,356.75,OK,14.2
Qwen/Qwen-72B,h100,Dense,8192,8,1.0,-1.62,-1.02,231.24,231.24,34.63,564.27,OK,13.5
Qwen/Qwen-72B,h100,NaiveSparse,8192,8,1.0,-1.62,-1.02,231.24,231.24,34.63,564.27,OK,13.5
Qwen/Qwen-72B,h100,Sparse,16384,8,0.1,-1.62,-1.02,90.17,90.17,88.97,0.00,OK,6.2
Qwen/Qwen-72B,h100,Sparse,16384,4,0.1,-1.62,-1.02,126.75,142.17,56.37,0.00,OK,13.5
