model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,2,524288,Dense,1,153.5,1.0,25.087526138222806,25.087526138222806,OK,17.6
meta-llama/Meta-Llama-3-8B,blackwell,2,524288,Dense,4,153.5,1.0,15.98407265042023,15.98407265042023,OK,17.7
meta-llama/Meta-Llama-3-8B,blackwell,2,524288,Dense,2,153.5,1.0,18.865790936518884,18.865790936518884,OK,17.9
meta-llama/Meta-Llama-3-8B,blackwell,2,524288,Dense,8,153.5,1.0,14.050213165372606,14.050213165372606,OK,17.9
meta-llama/Meta-Llama-3-8B,blackwell,2,786432,Dense,1,222.2,1.0,33.67746073022281,33.67746073022281,OK,19.9
meta-llama/Meta-Llama-3-8B,blackwell,2,786432,Dense,2,222.2,1.0,23.160758232518887,23.160758232518887,OK,20.0
meta-llama/Meta-Llama-3-8B,blackwell,2,786432,Dense,4,222.2,1.0,18.13155629842023,18.13155629842023,OK,20.0
meta-llama/Meta-Llama-3-8B,blackwell,2,786432,Dense,8,222.2,1.0,15.123954989372603,15.123954989372603,OK,20.4
meta-llama/Meta-Llama-3-8B,blackwell,2,1048576,Dense,1,290.9,1.0,42.26739532222282,42.26739532222282,OK,21.0
meta-llama/Meta-Llama-3-8B,blackwell,2,1048576,Dense,2,290.9,1.0,27.45572552851889,27.45572552851889,OK,22.1
meta-llama/Meta-Llama-3-8B,blackwell,2,1048576,Dense,4,290.9,1.0,20.27903994642023,20.27903994642023,OK,22.5
meta-llama/Meta-Llama-3-8B,blackwell,2,1048576,Dense,8,290.9,1.0,16.197696813372605,16.197696813372605,OK,22.2
meta-llama/Meta-Llama-3-8B,blackwell,2,2097152,Dense,1,565.8,1.0,76.6271336902228,76.6271336902228,OK,30.3
meta-llama/Meta-Llama-3-8B,blackwell,2,2097152,Dense,2,565.8,1.0,44.63559471251888,44.63559471251888,OK,31.6
meta-llama/Meta-Llama-3-8B,blackwell,2,2097152,Dense,4,565.8,1.0,28.86897453842023,28.86897453842023,OK,31.8
