model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
CodeLlama-34b-Instruct-hf,a100,512,32,1051.8200,1051.8200,61.3200,61.3200,17.1530,990.5000,0.0000,30.42,521.85,analytical
CodeLlama-34b-Instruct-hf,a100,512,64,346.9806,346.9806,61.3200,61.3200,5.6585,285.6606,0.0000,184.45,1043.71,analytical
CodeLlama-34b-Instruct-hf,a100,512,128,61.3200,61.3200,61.3200,61.3200,1.0000,0.0000,0.0000,2087.41,2087.41,analytical
CodeLlama-34b-Instruct-hf,a40,4,4,258.08,290.03,258.06,290.01,1.0,0.0,0.0,27.61,27.61,simulated
CodeLlama-34b-Instruct-hf,a40,4,8,166.75,166.75,166.66,166.66,1.001,0.0,0.0,48.05,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,4,16,166.68,166.68,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,4,32,166.67,166.67,166.67,166.67,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,4,64,166.67,166.67,166.67,166.67,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,4,128,166.67,166.67,166.67,166.67,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,8,4,258.16,290.12,258.15,290.11,1.0,0.0,0.0,27.6,27.6,simulated
CodeLlama-34b-Instruct-hf,a40,8,8,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,8,16,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,8,32,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,8,64,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,8,128,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,16,4,258.16,290.12,258.16,290.12,1.0,0.0,0.0,27.6,27.6,simulated
CodeLlama-34b-Instruct-hf,a40,16,8,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
