model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
Llama-2-70b-hf,a40,4,8,336.73,336.73,337.36,337.36,0.998,0.0,0.0,23.78,23.73,simulated
Llama-2-70b-hf,a40,4,16,336.75,336.75,336.75,336.75,1.0,0.0,0.0,23.77,23.77,simulated
Llama-2-70b-hf,a40,4,32,336.75,336.75,336.69,336.69,1.0,0.0,0.0,23.77,23.78,simulated
Llama-2-70b-hf,a40,4,64,336.75,336.75,336.75,336.75,1.0,0.0,0.0,23.77,23.77,simulated
Llama-2-70b-hf,a40,4,128,336.75,336.75,336.75,336.75,1.0,0.0,0.0,23.77,23.77,simulated
Llama-2-70b-hf,a40,8,4,524.74,589.81,524.74,589.81,1.0,0.0,0.0,13.57,13.57,simulated
Llama-2-70b-hf,a40,8,8,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,8,16,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,8,32,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,8,64,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,8,128,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,16,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57,simulated
Llama-2-70b-hf,a40,16,8,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,16,16,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,16,32,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,16,64,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,16,128,336.6700,336.6700,336.6700,336.6700,1.0000,0.0000,0.0000,380.19,380.19,analytical
Llama-2-70b-hf,a40,32,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57,simulated
Llama-2-70b-hf,a40,32,8,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,32,16,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,32,32,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,32,64,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,190.07,190.07,analytical
Llama-2-70b-hf,a40,32,128,336.6700,336.6700,336.6700,336.6700,1.0000,0.0000,0.0000,380.19,380.19,analytical
Llama-2-70b-hf,a40,64,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57,simulated
Llama-2-70b-hf,a40,64,8,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,64,16,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78,simulated
Llama-2-70b-hf,a40,64,32,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,95.04,95.04,analytical
Llama-2-70b-hf,a40,64,64,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,190.07,190.07,analytical
Llama-2-70b-hf,a40,64,128,336.6700,336.6700,336.6700,336.6700,1.0000,0.0000,0.0000,380.19,380.19,analytical
Llama-2-70b-hf,a40,128,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57,simulated
Llama-2-70b-hf,a40,128,8,497.53,497.53,336.71,336.71,1.478,643.28,0.0,16.09,23.78,simulated
Llama-2-70b-hf,a40,128,16,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,47.52,47.52,analytical
Llama-2-70b-hf,a40,128,32,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,95.04,95.04,analytical
Llama-2-70b-hf,a40,128,64,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,190.07,190.07,analytical
Llama-2-70b-hf,a40,128,128,336.6700,336.6700,336.6700,336.6700,1.0000,0.0000,0.0000,380.19,380.19,analytical
Llama-2-70b-hf,a40,256,4,847.03,930.92,524.72,589.78,1.614,1364.53,0.0,8.6,13.57,simulated
Llama-2-70b-hf,a40,256,8,626.4684,626.4684,336.7100,336.7100,1.8606,289.7584,0.0000,12.77,23.76,analytical
Llama-2-70b-hf,a40,256,16,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,47.52,47.52,analytical
Llama-2-70b-hf,a40,256,32,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,95.04,95.04,analytical
Llama-2-70b-hf,a40,256,64,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,190.07,190.07,analytical
Llama-2-70b-hf,a40,256,128,336.6700,336.6700,336.6700,336.6700,1.0000,0.0000,0.0000,380.19,380.19,analytical
Llama-2-70b-hf,a40,512,4,1085.0642,1215.7360,524.7200,587.9109,2.0679,560.3442,0.0000,3.69,7.62,analytical
Llama-2-70b-hf,a40,512,8,941.0354,941.0354,336.7100,336.7100,2.7948,604.3254,0.0000,8.50,23.76,analytical
Llama-2-70b-hf,a40,512,16,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,47.52,47.52,analytical
Llama-2-70b-hf,a40,512,32,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,95.04,95.04,analytical
Llama-2-70b-hf,a40,512,64,336.7100,336.7100,336.7100,336.7100,1.0000,0.0000,0.0000,190.07,190.07,analytical
Llama-2-70b-hf,a40,512,128,336.6700,336.6700,336.6700,336.6700,1.0000,0.0000,0.0000,380.19,380.19,analytical
Llama-2-70b-hf,h100,4,4,103.9,116.77,103.51,116.33,1.004,0.0,0.0,68.66,68.92,simulated
Llama-2-70b-hf,h100,4,8,66.6,66.6,66.72,66.72,0.998,0.0,0.0,120.57,120.37,simulated
Llama-2-70b-hf,h100,4,16,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.35,120.34,simulated
Llama-2-70b-hf,h100,4,32,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.34,120.35,simulated
Llama-2-70b-hf,h100,4,64,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.34,120.34,simulated
Llama-2-70b-hf,h100,4,128,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.34,120.34,simulated
Llama-2-70b-hf,h100,8,4,103.74,116.59,103.74,116.59,1.0,0.0,0.0,68.76,68.76,simulated
Llama-2-70b-hf,h100,8,8,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32,simulated
Llama-2-70b-hf,h100,8,16,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32,simulated
Llama-2-70b-hf,h100,8,32,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32,simulated
Llama-2-70b-hf,h100,8,64,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32,simulated
Llama-2-70b-hf,h100,8,128,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32,simulated
Llama-2-70b-hf,h100,16,4,103.74,116.59,103.74,116.59,1.0,0.0,0.0,68.76,68.76,simulated
Llama-2-70b-hf,h100,16,8,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32,simulated
Llama-2-70b-hf,h100,16,16,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32,simulated
Llama-2-70b-hf,h100,16,32,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32,simulated
Llama-2-70b-hf,h100,16,64,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32,simulated
Llama-2-70b-hf,h100,16,128,66.7600,66.7600,66.7400,66.7400,1.0003,0.0200,0.0000,1917.32,1917.89,analytical
Llama-2-70b-hf,h100,32,4,110.74,123.6,103.74,116.59,1.067,28.02,0.0,64.86,68.76,simulated
Llama-2-70b-hf,h100,32,8,121.22,121.22,66.74,66.74,1.816,217.89,0.0,66.14,120.32,simulated
Llama-2-70b-hf,h100,32,16,121.22,121.22,66.74,66.74,1.816,217.89,0.0,66.14,120.32,simulated
Llama-2-70b-hf,h100,32,32,121.22,121.22,66.74,66.74,1.816,217.89,0.0,66.14,120.32,simulated
Llama-2-70b-hf,h100,32,64,70.2179,70.2179,66.7400,66.7400,1.0521,3.4779,0.0000,911.45,958.95,analytical
Llama-2-70b-hf,h100,32,128,66.8000,66.8000,66.7400,66.7400,1.0009,0.0600,0.0000,1916.17,1917.89,analytical
Llama-2-70b-hf,h100,64,4,208.6,229.58,103.74,116.59,2.011,451.94,0.0,34.89,68.76,simulated
Llama-2-70b-hf,h100,64,8,229.56,229.56,66.74,66.74,3.44,651.26,0.0,34.89,120.32,simulated
Llama-2-70b-hf,h100,64,16,229.56,229.56,66.74,66.74,3.44,651.26,0.0,34.89,120.32,simulated
Llama-2-70b-hf,h100,64,32,227.2400,227.2400,66.7400,66.7400,3.4049,160.5000,0.0000,140.82,479.47,analytical
Llama-2-70b-hf,h100,64,64,74.4407,74.4407,66.7400,66.7400,1.1154,7.7007,0.0000,859.74,958.95,analytical
Llama-2-70b-hf,h100,64,128,66.8800,66.8800,66.7400,66.7400,1.0021,0.1400,0.0000,1913.88,1917.89,analytical
Llama-2-70b-hf,h100,128,4,405.74,447.68,103.74,116.59,3.911,1324.37,0.0,17.88,68.76,simulated
Llama-2-70b-hf,h100,128,8,447.67,447.67,66.74,66.74,6.708,1523.69,0.0,17.88,120.32,simulated
Llama-2-70b-hf,h100,128,16,444.7486,444.7486,66.7400,66.7400,6.6639,378.0086,0.0000,35.98,239.74,analytical
Llama-2-70b-hf,h100,128,32,439.2800,439.2800,66.7400,66.7400,6.5820,372.5400,0.0000,72.85,479.47,analytical
Llama-2-70b-hf,h100,128,64,82.8864,82.8864,66.7400,66.7400,1.2419,16.1464,0.0000,772.14,958.95,analytical
Llama-2-70b-hf,h100,128,128,67.0400,67.0400,66.7400,66.7400,1.0045,0.3000,0.0000,1909.31,1917.89,analytical
Llama-2-70b-hf,h100,256,4,811.15,895.03,103.74,116.59,7.819,3113.76,0.0,8.94,68.76,simulated
Llama-2-70b-hf,h100,256,8,881.4778,881.4778,66.7400,66.7400,13.2076,814.7378,0.0000,9.08,119.87,analytical
Llama-2-70b-hf,h100,256,16,875.4571,875.4571,66.7400,66.7400,13.1174,808.7171,0.0000,18.28,239.74,analytical
Llama-2-70b-hf,h100,256,32,863.3600,863.3600,66.7400,66.7400,12.9362,796.6200,0.0000,37.06,479.47,analytical
Llama-2-70b-hf,h100,256,64,99.7779,99.7779,66.7400,66.7400,1.4950,33.0379,0.0000,641.42,958.95,analytical
Llama-2-70b-hf,h100,256,128,67.3600,67.3600,66.7400,66.7400,1.0093,0.6200,0.0000,1900.24,1917.89,analytical
Llama-2-70b-hf,h100,512,4,1610.8630,1793.8300,103.7400,115.5231,15.5279,1507.1230,0.0000,2.48,38.56,analytical
Llama-2-70b-hf,h100,512,8,1749.8048,1749.8048,66.7400,66.7400,26.2182,1683.0648,0.0000,4.57,119.87,analytical
Llama-2-70b-hf,h100,512,16,1736.8743,1736.8743,66.7400,66.7400,26.0245,1670.1343,0.0000,9.21,239.74,analytical
Llama-2-70b-hf,h100,512,32,1711.5200,1711.5200,66.7400,66.7400,25.6446,1644.7800,0.0000,18.70,479.47,analytical
Llama-2-70b-hf,h100,512,64,133.5607,133.5607,66.7400,66.7400,2.0012,66.8207,0.0000,479.18,958.95,analytical
Llama-2-70b-hf,h100,512,128,68.0000,68.0000,66.7400,66.7400,1.0189,1.2600,0.0000,1882.35,1917.89,analytical
Llama-2-7b-hf,a100,4,4,29.75,33.04,29.75,33.04,1.0,0.0,0.0,244.02,244.02,simulated
Llama-2-7b-hf,a100,4,8,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8,simulated
Llama-2-7b-hf,a100,4,16,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8,simulated
Llama-2-7b-hf,a100,4,32,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8,simulated
Llama-2-7b-hf,a100,4,64,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8,simulated
Llama-2-7b-hf,a100,4,128,25.3,25.3,24.96,24.96,1.014,1.34,0.0,319.47,323.8,simulated
Llama-2-7b-hf,a100,8,4,42.2,46.41,29.75,33.04,1.418,53.49,0.0,173.33,244.02,simulated
Llama-2-7b-hf,a100,8,8,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8,simulated
Llama-2-7b-hf,a100,8,16,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8,simulated
Llama-2-7b-hf,a100,8,32,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8,simulated
Llama-2-7b-hf,a100,8,64,46.38,46.38,24.96,24.96,1.858,85.69,0.0,173.42,323.8,simulated
Llama-2-7b-hf,a100,8,128,50.6000,50.6000,24.9600,24.9600,2.0272,25.6400,0.0000,2529.64,5128.21,analytical
Llama-2-7b-hf,a100,16,4,81.45,89.85,29.75,33.04,2.738,227.25,0.0,89.29,244.02,simulated
Llama-2-7b-hf,a100,16,8,89.83,89.83,24.96,24.96,3.599,259.46,0.0,89.31,323.8,simulated
Llama-2-7b-hf,a100,16,16,89.83,89.83,24.96,24.96,3.599,259.46,0.0,89.31,323.8,simulated
Llama-2-7b-hf,a100,16,32,89.83,89.83,24.96,24.96,3.599,259.46,0.0,89.31,323.8,simulated
Llama-2-7b-hf,a100,16,64,88.5400,88.5400,24.9600,24.9600,3.5473,63.5800,0.0000,722.84,2564.10,analytical
Llama-2-7b-hf,a100,16,128,101.2000,101.2000,24.9600,24.9600,4.0545,76.2400,0.0000,1264.82,5128.21,analytical
Llama-2-7b-hf,a100,32,4,162.53,179.33,29.75,33.04,5.463,585.15,0.0,44.68,244.02,simulated
Llama-2-7b-hf,a100,32,8,179.3,179.3,24.96,24.96,7.183,617.35,0.0,44.68,323.8,simulated
Llama-2-7b-hf,a100,32,16,179.3,179.3,24.96,24.96,7.183,617.35,0.0,44.68,323.8,simulated
Llama-2-7b-hf,a100,32,32,175.9007,175.9007,24.9600,24.9600,7.0473,150.9407,0.0000,181.92,1282.05,analytical
Llama-2-7b-hf,a100,32,64,172.8600,172.8600,24.9600,24.9600,6.9255,147.9000,0.0000,370.24,2564.10,analytical
Llama-2-7b-hf,a100,32,128,202.4000,202.4000,24.9600,24.9600,8.1090,177.4400,0.0000,632.41,5128.21,analytical
Llama-2-7b-hf,a100,64,4,324.7,358.27,34.35,37.71,9.453,1300.93,18.69,22.35,213.58,simulated
Llama-2-7b-hf,a100,64,8,358.25,358.25,37.69,37.69,9.505,1333.13,50.89,22.35,213.73,simulated
Llama-2-7b-hf,a100,64,16,355.2319,355.2319,24.9600,24.9600,14.2320,330.2719,0.0000,45.04,641.03,analytical
Llama-2-7b-hf,a100,64,32,348.2264,348.2264,24.9600,24.9600,13.9514,323.2664,0.0000,91.89,1282.05,analytical
Llama-2-7b-hf,a100,64,64,341.5000,341.5000,24.9600,24.9600,13.6819,316.5400,0.0000,187.41,2564.10,analytical
Llama-2-7b-hf,a100,64,128,404.8000,404.8000,24.9600,24.9600,16.2179,379.8400,0.0000,316.21,5128.21,analytical
Llama-2-7b-hf,a100,128,4,649.04,716.16,65.62,72.33,9.891,2732.5,157.17,11.17,110.99,simulated
Llama-2-7b-hf,a100,128,8,713.6553,713.6553,37.6900,37.6900,18.9349,675.9653,0.0000,11.21,212.26,analytical
Llama-2-7b-hf,a100,128,16,707.9234,707.9234,24.9600,24.9600,28.3623,682.9634,0.0000,22.60,641.03,analytical
Llama-2-7b-hf,a100,128,32,692.8779,692.8779,24.9600,24.9600,27.7595,667.9179,0.0000,46.18,1282.05,analytical
Llama-2-7b-hf,a100,128,64,678.7800,678.7800,24.9600,24.9600,27.1947,653.8200,0.0000,94.29,2564.10,analytical
Llama-2-7b-hf,a100,128,128,809.6000,809.6000,24.9600,24.9600,32.4359,784.6400,0.0000,158.10,5128.21,analytical
Llama-2-7b-hf,a100,256,4,1296.8070,1431.5992,128.1600,141.4812,10.1187,1231.1870,62.5400,3.08,31.21,analytical
Llama-2-7b-hf,a100,256,8,1425.3990,1425.3990,37.6900,37.6900,37.8190,1387.7090,0.0000,5.61,212.26,analytical
Llama-2-7b-hf,a100,256,16,1413.3063,1413.3063,24.9600,24.9600,56.6229,1388.3463,0.0000,11.32,641.03,analytical
Llama-2-7b-hf,a100,256,32,1382.1807,1382.1807,24.9600,24.9600,55.3758,1357.2207,0.0000,23.15,1282.05,analytical
Llama-2-7b-hf,a100,256,64,1353.3400,1353.3400,24.9600,24.9600,54.2204,1328.3800,0.0000,47.29,2564.10,analytical
Llama-2-7b-hf,a100,256,128,1619.2000,1619.2000,24.9600,24.9600,64.8718,1594.2400,0.0000,79.05,5128.21,analytical
Llama-2-7b-hf,a100,512,4,2592.7115,2862.2021,253.2400,279.5622,10.2382,2527.0915,187.6200,1.54,15.80,analytical
Llama-2-7b-hf,a100,512,8,2848.8863,2848.8863,37.6900,37.6900,75.5873,2811.1963,0.0000,2.81,212.26,analytical
Llama-2-7b-hf,a100,512,16,2824.0723,2824.0723,24.9600,24.9600,113.1439,2799.1123,0.0000,5.67,641.03,analytical
Llama-2-7b-hf,a100,512,32,2760.7864,2760.7864,24.9600,24.9600,110.6084,2735.8264,0.0000,11.59,1282.05,analytical
Llama-2-7b-hf,a100,512,64,2702.4600,2702.4600,24.9600,24.9600,108.2716,2677.5000,0.0000,23.68,2564.10,analytical
Llama-2-7b-hf,a100,512,128,3238.4000,3238.4000,24.9600,24.9600,129.7436,3213.4400,0.0000,39.53,5128.21,analytical
Llama-2-7b-hf,a40,4,4,74.69,84.02,74.65,83.97,1.001,0.0,0.0,95.51,95.57,simulated
Llama-2-7b-hf,a40,4,8,61.14,61.14,61.16,61.16,1.0,0.0,0.0,131.4,131.34,simulated
Llama-2-7b-hf,a40,4,16,61.14,61.14,61.17,61.17,1.0,0.0,0.0,131.4,131.32,simulated
Llama-2-7b-hf,a40,4,32,61.15,61.15,61.15,61.15,1.0,0.0,0.0,131.37,131.37,simulated
Llama-2-7b-hf,a40,4,64,61.14,61.14,61.15,61.15,1.0,0.0,0.0,131.4,131.37,simulated
Llama-2-7b-hf,a40,4,128,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4,simulated
Llama-2-7b-hf,a40,8,4,74.64,83.97,74.64,83.97,1.0,0.0,0.0,95.56,95.56,simulated
Llama-2-7b-hf,a40,8,8,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4,simulated
Llama-2-7b-hf,a40,8,16,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4,simulated
Llama-2-7b-hf,a40,8,32,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4,simulated
Llama-2-7b-hf,a40,8,64,61.14,61.14,61.14,61.14,1.0,0.0,0.0,131.4,131.4,simulated
Llama-2-7b-hf,a40,8,128,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,2093.56,2093.56,analytical
Llama-2-7b-hf,a40,16,4,85.64,94.96,74.64,83.97,1.147,43.98,0.0,84.47,95.56,simulated
Llama-2-7b-hf,a40,16,8,94.02,94.02,61.14,61.14,1.538,131.51,0.0,85.32,131.4,simulated
Llama-2-7b-hf,a40,16,16,94.02,94.02,61.14,61.14,1.538,131.51,0.0,85.32,131.4,simulated
Llama-2-7b-hf,a40,16,32,94.02,94.02,61.14,61.14,1.538,131.51,0.0,85.32,131.4,simulated
Llama-2-7b-hf,a40,16,64,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,1046.78,1046.78,analytical
Llama-2-7b-hf,a40,16,128,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,2093.56,2093.56,analytical
Llama-2-7b-hf,a40,32,4,163.93,180.72,74.64,83.97,2.196,387.0,0.0,44.33,95.56,simulated
Llama-2-7b-hf,a40,32,8,180.69,180.69,61.14,61.14,2.955,478.21,0.0,44.34,131.4,simulated
Llama-2-7b-hf,a40,32,16,180.69,180.69,61.14,61.14,2.955,478.21,0.0,44.34,131.4,simulated
Llama-2-7b-hf,a40,32,32,138.6300,138.6300,61.1400,61.1400,2.2674,77.4900,0.0000,230.83,523.39,analytical
Llama-2-7b-hf,a40,32,64,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,1046.78,1046.78,analytical
Llama-2-7b-hf,a40,32,128,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,2093.56,2093.56,analytical
Llama-2-7b-hf,a40,64,4,324.7,358.27,74.64,83.97,4.35,1097.21,0.0,22.35,95.56,simulated
Llama-2-7b-hf,a40,64,8,358.25,358.25,61.14,61.14,5.86,1188.42,0.0,22.35,131.4,simulated
Llama-2-7b-hf,a40,64,16,354.0300,354.0300,61.1400,61.1400,5.7905,292.8900,0.0000,45.19,261.69,analytical
Llama-2-7b-hf,a40,64,32,232.5500,232.5500,61.1400,61.1400,3.8036,171.4100,0.0000,137.60,523.39,analytical
Llama-2-7b-hf,a40,64,64,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,1046.78,1046.78,analytical
Llama-2-7b-hf,a40,64,128,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,2093.56,2093.56,analytical
Llama-2-7b-hf,a40,128,4,649.04,716.16,74.64,83.97,8.696,2528.78,0.0,11.17,95.56,simulated
Llama-2-7b-hf,a40,128,8,710.6571,710.6571,61.1400,61.1400,11.6234,649.5171,0.0000,11.26,130.85,analytical
Llama-2-7b-hf,a40,128,16,700.7100,700.7100,61.1400,61.1400,11.4607,639.5700,0.0000,22.83,261.69,analytical
Llama-2-7b-hf,a40,128,32,420.3900,420.3900,61.1400,61.1400,6.8759,359.2500,0.0000,76.12,523.39,analytical
Llama-2-7b-hf,a40,128,64,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,1046.78,1046.78,analytical
Llama-2-7b-hf,a40,128,128,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,2093.56,2093.56,analytical
Llama-2-7b-hf,a40,256,4,1293.1594,1437.1242,74.6400,82.9495,17.3253,1218.5194,0.0000,3.09,53.59,analytical
Llama-2-7b-hf,a40,256,8,1416.0743,1416.0743,61.1400,61.1400,23.1612,1354.9343,0.0000,5.65,130.85,analytical
Llama-2-7b-hf,a40,256,16,1394.0700,1394.0700,61.1400,61.1400,22.8013,1332.9300,0.0000,11.48,261.69,analytical
Llama-2-7b-hf,a40,256,32,796.0700,796.0700,61.1400,61.1400,13.0204,734.9300,0.0000,40.20,523.39,analytical
Llama-2-7b-hf,a40,256,64,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,1046.78,1046.78,analytical
Llama-2-7b-hf,a40,256,128,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,2093.56,2093.56,analytical
Llama-2-7b-hf,a40,512,4,2582.7357,2870.2664,74.6400,82.9495,34.6026,2508.0957,0.0000,1.55,53.59,analytical
Llama-2-7b-hf,a40,512,8,2826.9086,2826.9086,61.1400,61.1400,46.2366,2765.7686,0.0000,2.83,130.85,analytical
Llama-2-7b-hf,a40,512,16,2780.7900,2780.7900,61.1400,61.1400,45.4823,2719.6500,0.0000,5.75,261.69,analytical
Llama-2-7b-hf,a40,512,32,1547.4300,1547.4300,61.1400,61.1400,25.3096,1486.2900,0.0000,20.68,523.39,analytical
Llama-2-7b-hf,a40,512,64,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,1046.78,1046.78,analytical
Llama-2-7b-hf,a40,512,128,61.1400,61.1400,61.1400,61.1400,1.0000,0.0000,0.0000,2093.56,2093.56,analytical
Llama-2-7b-hf,h100,4,4,21.58,23.69,17.13,19.18,1.26,18.08,0.0,341.36,422.69,simulated
Llama-2-7b-hf,h100,4,8,23.67,23.67,12.85,12.85,1.842,43.26,0.0,341.73,635.3,simulated
Llama-2-7b-hf,h100,4,16,23.67,23.67,12.84,12.84,1.843,43.27,0.0,341.73,635.64,simulated
Llama-2-7b-hf,h100,4,32,23.67,23.67,12.85,12.85,1.842,43.27,0.0,341.73,635.36,simulated
Llama-2-7b-hf,h100,4,64,23.67,23.67,12.85,12.85,1.842,43.26,0.0,341.73,635.17,simulated
Llama-2-7b-hf,h100,4,128,23.67,23.67,12.85,12.85,1.842,43.28,0.0,341.73,635.36,simulated
Llama-2-7b-hf,h100,8,4,41.15,45.36,17.12,19.18,2.404,104.74,0.0,177.36,422.81,simulated
Llama-2-7b-hf,h100,8,8,45.33,45.33,12.85,12.85,3.528,129.95,0.0,177.46,635.36,simulated
Llama-2-7b-hf,h100,8,16,45.33,45.33,12.85,12.85,3.528,129.95,0.0,177.46,635.36,simulated
Llama-2-7b-hf,h100,8,32,45.33,45.33,12.85,12.85,3.528,129.95,0.0,177.46,635.36,simulated
Llama-2-7b-hf,h100,8,64,45.33,45.33,12.85,12.85,3.528,129.95,0.0,177.46,635.36,simulated
Llama-2-7b-hf,h100,8,128,47.3400,47.3400,12.8500,12.8500,3.6840,34.4900,0.0000,2703.84,9961.09,analytical
Llama-2-7b-hf,h100,16,4,81.45,89.85,17.12,19.18,4.758,282.7,0.0,89.29,422.81,simulated
Llama-2-7b-hf,h100,16,8,89.83,89.83,12.85,12.85,6.991,307.92,0.0,89.31,635.36,simulated
Llama-2-7b-hf,h100,16,16,89.83,89.83,12.85,12.85,6.991,307.92,0.0,89.31,635.36,simulated
Llama-2-7b-hf,h100,16,32,89.83,89.83,12.85,12.85,6.991,307.92,0.0,89.31,635.36,simulated
Llama-2-7b-hf,h100,16,64,88.6500,88.6500,12.8500,12.8500,6.8988,75.8000,0.0000,721.94,4980.54,analytical
Llama-2-7b-hf,h100,16,128,94.6800,94.6800,12.8500,12.8500,7.3681,81.8300,0.0000,1351.92,9961.09,analytical
Llama-2-7b-hf,h100,32,4,162.53,179.33,17.62,19.68,9.224,640.6,2.0,44.68,411.93,simulated
Llama-2-7b-hf,h100,32,8,179.3,179.3,19.28,19.28,9.3,665.81,25.75,44.68,420.44,simulated
Llama-2-7b-hf,h100,32,16,179.3,179.3,19.28,19.28,9.3,665.81,25.75,44.68,420.44,simulated
Llama-2-7b-hf,h100,32,32,178.0714,178.0714,12.8500,12.8500,13.8577,165.2214,0.0000,179.70,2490.27,analytical
Llama-2-7b-hf,h100,32,64,175.2900,175.2900,12.8500,12.8500,13.6412,162.4400,0.0000,365.11,4980.54,analytical
Llama-2-7b-hf,h100,32,128,189.3600,189.3600,12.8500,12.8500,14.7362,176.5100,0.0000,675.96,9961.09,analytical
Llama-2-7b-hf,h100,64,4,324.7,358.27,33.3,36.66,9.751,1356.38,69.94,22.35,219.74,simulated
Llama-2-7b-hf,h100,64,8,358.25,358.25,36.64,36.64,9.778,1381.59,95.15,22.35,219.9,simulated
Llama-2-7b-hf,h100,64,16,357.2548,357.2548,19.2800,19.2800,18.5298,337.9748,0.0000,44.79,829.88,analytical
Llama-2-7b-hf,h100,64,32,354.7229,354.7229,12.8500,12.8500,27.6049,341.8729,0.0000,90.21,2490.27,analytical
Llama-2-7b-hf,h100,64,64,348.5700,348.5700,12.8500,12.8500,27.1261,335.7200,0.0000,183.61,4980.54,analytical
