model,device,tp,batch,context_length,system,amp,imbalance,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,8,320,131072,FullPageScore,3.5636,1.9234,959.4611126655108,959.4611126655108,OK,42.8
meta-llama/Meta-Llama-3-8B,blackwell,8,4,131072,TokenGranular,3.5636,1.9234,26.204911405372602,26.204911405372602,OK,14.0
meta-llama/Meta-Llama-3-8B,blackwell,8,8,131072,TokenGranular,3.5636,1.9234,39.4097754053726,39.4097754053726,OK,14.1
meta-llama/Meta-Llama-3-8B,blackwell,8,16,131072,TokenGranular,3.5636,1.9234,65.82672769976361,65.82672769976361,OK,14.4
meta-llama/Meta-Llama-3-8B,blackwell,8,24,131072,TokenGranular,3.5636,1.9234,89.76886546310759,94.79425752981837,OK,14.6
meta-llama/Meta-Llama-3-8B,blackwell,8,32,131072,TokenGranular,3.5636,1.9234,109.59185499999901,121.22063180697423,OK,14.5
meta-llama/Meta-Llama-3-8B,blackwell,8,48,131072,TokenGranular,3.5636,1.9234,174.05945514993797,174.05945514993797,OK,14.6
meta-llama/Meta-Llama-3-8B,blackwell,8,384,131072,FullPageScore,3.5636,1.9234,1144.968604561632,1151.1930632950096,OK,57.6
meta-llama/Meta-Llama-3-8B,blackwell,8,64,131072,TokenGranular,3.5636,1.9234,226.9070162496418,226.9070162496418,OK,15.3
meta-llama/Meta-Llama-3-8B,blackwell,8,96,131072,TokenGranular,3.5636,1.9234,332.5914783042483,332.5914783042483,OK,17.1
meta-llama/Meta-Llama-3-8B,blackwell,8,128,131072,TokenGranular,3.5636,1.9234,417.64846054972406,440.00830713086856,OK,18.6
meta-llama/Meta-Llama-3-8B,blackwell,8,192,131072,TokenGranular,3.5636,1.9234,576.1857757730635,651.3916116082235,OK,24.7
meta-llama/Meta-Llama-3-8B,blackwell,8,512,131072,FullPageScore,3.5636,1.9234,1427.658133757626,1528.0945592131047,OK,84.1
meta-llama/Meta-Llama-3-8B,blackwell,8,256,131072,TokenGranular,3.5636,1.9234,862.7895144502957,862.7895144502957,OK,33.0
meta-llama/Meta-Llama-3-8B,blackwell,8,1,131072,PlaneImbalance,3.5636,1.9234,11.002215338661822,11.002215338661822,OK,14.1
meta-llama/Meta-Llama-3-8B,blackwell,8,2,131072,PlaneImbalance,3.5636,1.9234,14.088879405372603,14.088879405372603,OK,14.1
meta-llama/Meta-Llama-3-8B,blackwell,8,320,131072,TokenGranular,3.5636,1.9234,1074.1906010167475,1074.1906010167475,OK,43.1
meta-llama/Meta-Llama-3-8B,blackwell,8,4,131072,PlaneImbalance,3.5636,1.9234,15.163375405372603,15.163375405372603,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,8,8,131072,PlaneImbalance,3.5636,1.9234,17.3267034053726,17.3267034053726,OK,14.4
meta-llama/Meta-Llama-3-8B,blackwell,8,16,131072,PlaneImbalance,3.5636,1.9234,21.65239169976362,21.65239169976362,OK,14.5
meta-llama/Meta-Llama-3-8B,blackwell,8,24,131072,PlaneImbalance,3.5636,1.9234,25.168249463107575,28.525585529818354,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,8,32,131072,PlaneImbalance,3.5636,1.9234,28.425009666665684,32.86786380697421,OK,14.5
meta-llama/Meta-Llama-3-8B,blackwell,8,48,131072,PlaneImbalance,3.5636,1.9234,39.897160048716415,44.06729418902495,OK,15.1
meta-llama/Meta-Llama-3-8B,blackwell,8,384,131072,TokenGranular,3.5636,1.9234,1285.5988166672412,1285.5988166672412,OK,56.2
meta-llama/Meta-Llama-3-8B,blackwell,8,64,131072,PlaneImbalance,3.5636,1.9234,46.40102080047543,52.73819811613932,OK,15.3
meta-llama/Meta-Llama-3-8B,blackwell,8,96,131072,PlaneImbalance,3.5636,1.9234,66.67858723745323,72.61385255311713,OK,16.5
meta-llama/Meta-Llama-3-8B,blackwell,8,128,131072,PlaneImbalance,3.5636,1.9234,78.6026161200841,92.49833790627301,OK,18.2
meta-llama/Meta-Llama-3-8B,blackwell,8,192,131072,PlaneImbalance,3.5636,1.9234,114.86437470659673,127.15495752568836,OK,22.5
meta-llama/Meta-Llama-3-8B,blackwell,8,256,131072,PlaneImbalance,3.5636,1.9234,154.24633212805168,164.37362667382544,OK,27.4
meta-llama/Meta-Llama-3-8B,blackwell,8,512,131072,TokenGranular,3.5636,1.9234,1663.0161611373308,1711.8002663497714,OK,87.1
meta-llama/Meta-Llama-3-8B,blackwell,8,320,131072,PlaneImbalance,3.5636,1.9234,178.4966776769864,201.59364555908726,OK,34.8
meta-llama/Meta-Llama-3-8B,blackwell,8,384,131072,PlaneImbalance,3.5636,1.9234,195.8384474589332,236.26870047341328,OK,42.2
meta-llama/Meta-Llama-3-8B,blackwell,8,512,131072,PlaneImbalance,3.5636,1.9234,268.0179786782159,308.18120612595396,OK,62.1
